id,yearbuilt,name,neighborhood,address,description,bldg_pic,bldg_info_url,map_link,bldg_info_multi
1,0,Placeholder Text Building,placeholder,123 Main St.,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean nec turpis risus. Duis in nisl nisi. Duis interdum posuere sapien, eget lacinia massa. Duis gravida ornare mi rhoncus dictum. Mauris at cursus turpis. Suspendisse non sodales quam, pellentesque placerat nisi. Fusce sapien elit, gravida ut tempus non, commodo id purus. Duis sit amet nulla viverra, viverra enim at, varius lorem. Sed ac eros sem.",generic-building-square.jpeg,,https://www.google.com,
2,0,Placeholder Text Building,placeholder,456 Peachtree St.,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean nec turpis risus. Duis in nisl nisi. Duis interdum posuere sapien, eget lacinia massa. Duis gravida ornare mi rhoncus dictum. Mauris at cursus turpis. Suspendisse non sodales quam, pellentesque placerat nisi. Fusce sapien elit, gravida ut tempus non, commodo id purus. Duis sit amet nulla viverra, viverra enim at, varius lorem. Sed ac eros sem.",generic-building-square.jpeg,,https://www.google.com,
3,0,Placeholder Text Building,placeholder,456 Peachtree St.,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean nec turpis risus. Duis in nisl nisi. Duis interdum posuere sapien, eget lacinia massa. Duis gravida ornare mi rhoncus dictum. Mauris at cursus turpis. Suspendisse non sodales quam, pellentesque placerat nisi. Fusce sapien elit, gravida ut tempus non, commodo id purus. Duis sit amet nulla viverra, viverra enim at, varius lorem. Sed ac eros sem.",generic-building-square.jpeg,,https://www.google.com,
4,0,Placeholder Text Building,placeholder,456 Peachtree St.,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean nec turpis risus. Duis in nisl nisi. Duis interdum posuere sapien, eget lacinia massa. Duis gravida ornare mi rhoncus dictum. Mauris at cursus turpis. Suspendisse non sodales quam, pellentesque placerat nisi. Fusce sapien elit, gravida ut tempus non, commodo id purus. Duis sit amet nulla viverra, viverra enim at, varius lorem. Sed ac eros sem.",generic-building-square.jpeg,,https://www.google.com,
5,0,Placeholder Text Building,placeholder,456 Peachtree St.,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean nec turpis risus. Duis in nisl nisi. Duis interdum posuere sapien, eget lacinia massa. Duis gravida ornare mi rhoncus dictum. Mauris at cursus turpis. Suspendisse non sodales quam, pellentesque placerat nisi. Fusce sapien elit, gravida ut tempus non, commodo id purus. Duis sit amet nulla viverra, viverra enim at, varius lorem. Sed ac eros sem.",generic-building-square.jpeg,,https://www.google.com,
6,0,Placeholder Text Building,placeholder,456 Peachtree St.,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean nec turpis risus. Duis in nisl nisi. Duis interdum posuere sapien, eget lacinia massa. Duis gravida ornare mi rhoncus dictum. Mauris at cursus turpis. Suspendisse non sodales quam, pellentesque placerat nisi. Fusce sapien elit, gravida ut tempus non, commodo id purus. Duis sit amet nulla viverra, viverra enim at, varius lorem. Sed ac eros sem.",generic-building-square.jpeg,,https://www.google.com,
7,0,Placeholder Text Building,placeholder,456 Peachtree St.,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean nec turpis risus. Duis in nisl nisi. Duis interdum posuere sapien, eget lacinia massa. Duis gravida ornare mi rhoncus dictum. Mauris at cursus turpis. Suspendisse non sodales quam, pellentesque placerat nisi. Fusce sapien elit, gravida ut tempus non, commodo id purus. Duis sit amet nulla viverra, viverra enim at, varius lorem. Sed ac eros sem.",generic-building-square.jpeg,,https://www.google.com,
8,0,Placeholder Text Building,placeholder,456 Peachtree St.,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean nec turpis risus. Duis in nisl nisi. Duis interdum posuere sapien, eget lacinia massa. Duis gravida ornare mi rhoncus dictum. Mauris at cursus turpis. Suspendisse non sodales quam, pellentesque placerat nisi. Fusce sapien elit, gravida ut tempus non, commodo id purus. Duis sit amet nulla viverra, viverra enim at, varius lorem. Sed ac eros sem.",generic-building-square.jpeg,,https://www.google.com,
9,0,Placeholder Text Building,placeholder,456 Peachtree St.,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean nec turpis risus. Duis in nisl nisi. Duis interdum posuere sapien, eget lacinia massa. Duis gravida ornare mi rhoncus dictum. Mauris at cursus turpis. Suspendisse non sodales quam, pellentesque placerat nisi. Fusce sapien elit, gravida ut tempus non, commodo id purus. Duis sit amet nulla viverra, viverra enim at, varius lorem. Sed ac eros sem.",generic-building-square.jpeg,,https://www.google.com,
10,0,Placeholder Text Building,placeholder,456 Peachtree St.,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean nec turpis risus. Duis in nisl nisi. Duis interdum posuere sapien, eget lacinia massa. Duis gravida ornare mi rhoncus dictum. Mauris at cursus turpis. Suspendisse non sodales quam, pellentesque placerat nisi. Fusce sapien elit, gravida ut tempus non, commodo id purus. Duis sit amet nulla viverra, viverra enim at, varius lorem. Sed ac eros sem.",generic-building-square.jpeg,,https://www.google.com,
