id,name,description,address,bldg_pic,map_url,map_pic
1,Placeholder Text Building,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean nec turpis risus. Duis in nisl nisi. Duis interdum posuere sapien, eget lacinia massa. Duis gravida ornare mi rhoncus dictum. Mauris at cursus turpis. Suspendisse non sodales quam, pellentesque placerat nisi. Fusce sapien elit, gravida ut tempus non, commodo id purus. Duis sit amet nulla viverra, viverra enim at, varius lorem. Sed ac eros sem.",123 Main St.,generic-building-square.jpeg,https://maggielee.carto.com/viz/4ffded99-a16c-4cfe-9e02-a2a4c9958d35/public_map,generic-map-square.jpg
2,Placeholder Text Building,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean nec turpis risus. Duis in nisl nisi. Duis interdum posuere sapien, eget lacinia massa. Duis gravida ornare mi rhoncus dictum. Mauris at cursus turpis. Suspendisse non sodales quam, pellentesque placerat nisi. Fusce sapien elit, gravida ut tempus non, commodo id purus. Duis sit amet nulla viverra, viverra enim at, varius lorem. Sed ac eros sem.",456 Peachtree St.,generic-building-square.jpeg,https://maggielee.carto.com/viz/4ffded99-a16c-4cfe-9e02-a2a4c9958d35/public_map,generic-map-square.jpg
3,Placeholder Text Building,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean nec turpis risus. Duis in nisl nisi. Duis interdum posuere sapien, eget lacinia massa. Duis gravida ornare mi rhoncus dictum. Mauris at cursus turpis. Suspendisse non sodales quam, pellentesque placerat nisi. Fusce sapien elit, gravida ut tempus non, commodo id purus. Duis sit amet nulla viverra, viverra enim at, varius lorem. Sed ac eros sem.",456 Peachtree St.,generic-building-square.jpeg,https://maggielee.carto.com/viz/4ffded99-a16c-4cfe-9e02-a2a4c9958d35/public_map,generic-map-square.jpg
4,Placeholder Text Building,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean nec turpis risus. Duis in nisl nisi. Duis interdum posuere sapien, eget lacinia massa. Duis gravida ornare mi rhoncus dictum. Mauris at cursus turpis. Suspendisse non sodales quam, pellentesque placerat nisi. Fusce sapien elit, gravida ut tempus non, commodo id purus. Duis sit amet nulla viverra, viverra enim at, varius lorem. Sed ac eros sem.",456 Peachtree St.,generic-building-square.jpeg,https://maggielee.carto.com/viz/4ffded99-a16c-4cfe-9e02-a2a4c9958d35/public_map,generic-map-square.jpg
5,Placeholder Text Building,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean nec turpis risus. Duis in nisl nisi. Duis interdum posuere sapien, eget lacinia massa. Duis gravida ornare mi rhoncus dictum. Mauris at cursus turpis. Suspendisse non sodales quam, pellentesque placerat nisi. Fusce sapien elit, gravida ut tempus non, commodo id purus. Duis sit amet nulla viverra, viverra enim at, varius lorem. Sed ac eros sem.",456 Peachtree St.,generic-building-square.jpeg,https://maggielee.carto.com/viz/4ffded99-a16c-4cfe-9e02-a2a4c9958d35/public_map,generic-map-square.jpg
6,Placeholder Text Building,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean nec turpis risus. Duis in nisl nisi. Duis interdum posuere sapien, eget lacinia massa. Duis gravida ornare mi rhoncus dictum. Mauris at cursus turpis. Suspendisse non sodales quam, pellentesque placerat nisi. Fusce sapien elit, gravida ut tempus non, commodo id purus. Duis sit amet nulla viverra, viverra enim at, varius lorem. Sed ac eros sem.",456 Peachtree St.,generic-building-square.jpeg,https://maggielee.carto.com/viz/4ffded99-a16c-4cfe-9e02-a2a4c9958d35/public_map,generic-map-square.jpg
7,Placeholder Text Building,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean nec turpis risus. Duis in nisl nisi. Duis interdum posuere sapien, eget lacinia massa. Duis gravida ornare mi rhoncus dictum. Mauris at cursus turpis. Suspendisse non sodales quam, pellentesque placerat nisi. Fusce sapien elit, gravida ut tempus non, commodo id purus. Duis sit amet nulla viverra, viverra enim at, varius lorem. Sed ac eros sem.",456 Peachtree St.,generic-building-square.jpeg,https://maggielee.carto.com/viz/4ffded99-a16c-4cfe-9e02-a2a4c9958d35/public_map,generic-map-square.jpg
8,Placeholder Text Building,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean nec turpis risus. Duis in nisl nisi. Duis interdum posuere sapien, eget lacinia massa. Duis gravida ornare mi rhoncus dictum. Mauris at cursus turpis. Suspendisse non sodales quam, pellentesque placerat nisi. Fusce sapien elit, gravida ut tempus non, commodo id purus. Duis sit amet nulla viverra, viverra enim at, varius lorem. Sed ac eros sem.",456 Peachtree St.,generic-building-square.jpeg,https://maggielee.carto.com/viz/4ffded99-a16c-4cfe-9e02-a2a4c9958d35/public_map,generic-map-square.jpg
9,Placeholder Text Building,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean nec turpis risus. Duis in nisl nisi. Duis interdum posuere sapien, eget lacinia massa. Duis gravida ornare mi rhoncus dictum. Mauris at cursus turpis. Suspendisse non sodales quam, pellentesque placerat nisi. Fusce sapien elit, gravida ut tempus non, commodo id purus. Duis sit amet nulla viverra, viverra enim at, varius lorem. Sed ac eros sem.",456 Peachtree St.,generic-building-square.jpeg,https://maggielee.carto.com/viz/4ffded99-a16c-4cfe-9e02-a2a4c9958d35/public_map,generic-map-square.jpg
10,Placeholder Text Building,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean nec turpis risus. Duis in nisl nisi. Duis interdum posuere sapien, eget lacinia massa. Duis gravida ornare mi rhoncus dictum. Mauris at cursus turpis. Suspendisse non sodales quam, pellentesque placerat nisi. Fusce sapien elit, gravida ut tempus non, commodo id purus. Duis sit amet nulla viverra, viverra enim at, varius lorem. Sed ac eros sem.",456 Peachtree St.,generic-building-square.jpeg,https://maggielee.carto.com/viz/4ffded99-a16c-4cfe-9e02-a2a4c9958d35/public_map,generic-map-square.jpg
